ID_Registro,ID_Lote,ID_Local,Categoria,Producto,Stock_Unidades,Costo_Unitario_USD,Precio_Venta_USD,Fecha_Ingreso,Fecha_Vencimiento,RSL_Dias_Remanentes,Rotacion_Diaria_Promedio,Dias_Para_Agotar_Stock,Condicion_Almacenamiento,Tiempo_Transito_Horas,Costo_Transporte_Unit_USD,Alerta_Sistema_Predictivo,Accion_Control_Interno,Estado_Merma,Unidades_Mermadas,Valor_Merma_USD
REG-000033,LOT-2025-3839,POS-016,Agroquímicos,Glifosato 480 SL 1L,183,3.63,8.55,2026-01-15,2028-01-09,478,12.33,14.8,Optima,1.9,0.131,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000034,LOT-2025-6536,POS-008,Consumo Masivo,Galletas Integrales 200g,219,0.49,1.09,2025-10-29,2026-10-07,19,1.16,187.2,Optima,4.1,0.265,Alerta Temprana: Redistribución Sugerida,Promoción Aplicada,Sin Merma,0,0.0
REG-000035,LOT-2025-1417,POS-019,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,221,0.25,0.8,2025-03-16,2026-08-30,-19,12.07,18.3,Optima,3.7,0.24,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,221,55.25
REG-000036,LOT-2025-6988,POS-009,Agroquímicos,Insecticida Cyper 200 EC 1L,155,4.41,10.96,2025-04-06,2027-07-28,313,13.97,11.1,Desviación Menor,3.0,0.203,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000037,LOT-2025-4766,POS-013,Consumo Masivo,Bebida Energizante 500ml,221,0.67,1.52,2025-03-03,2026-12-23,96,4.87,45.3,Desviación Menor,4.7,0.299,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000038,LOT-2025-1395,POS-009,Consumo Masivo,Leche Entera Larga Vida 1L,148,0.64,0.97,2026-01-19,2026-11-24,67,6.78,21.8,Optima,0.8,0.071,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000039,LOT-2025-6588,POS-004,Consumo Masivo,Galletas Integrales 200g,137,0.51,1.08,2025-02-11,2027-01-02,106,11.08,12.4,Optima,2.1,0.146,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000040,LOT-2025-7801,POS-015,Farmacia/Medicamentos,Amoxicilina 500mg Cap,126,0.83,2.23,2025-08-18,2026-09-29,11,2.28,55.0,Optima,4.4,0.283,Riesgo Inminente: Descuento / Remate,Sin Acción,Merma Parcial,73,60.59
REG-000041,LOT-2025-2365,POS-020,Farmacia/Medicamentos,Paracetamol 500mg Tab,279,0.15,0.45,2025-09-09,2027-02-25,160,11.68,23.9,Optima,2.5,0.17,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000042,LOT-2025-9905,POS-019,Farmacia/Medicamentos,Omeprazol 20mg Cap,5,0.49,1.49,2025-02-27,2026-11-02,45,10.25,0.5,Optima,5.0,0.32,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000043,LOT-2025-2531,POS-017,Farmacia/Medicamentos,Paracetamol 500mg Tab,153,0.15,0.46,2026-07-10,2027-04-28,222,0.75,201.3,Desviación Menor,6.0,0.377,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000044,LOT-2025-7190,POS-009,Farmacia/Medicamentos,Paracetamol 500mg Tab,228,0.15,0.45,2026-04-16,2026-08-25,-24,0.96,235.1,Optima,4.0,0.262,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,228,34.2
REG-000045,LOT-2025-1667,POS-021,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,32,0.25,0.8,2025-11-12,2026-09-05,-13,1.26,25.2,Desviación Crítica,5.0,0.322,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,32,8.0
REG-000046,LOT-2025-7042,POS-022,Farmacia/Medicamentos,Paracetamol 500mg Tab,257,0.15,0.46,2026-07-12,2028-05-08,598,14.11,18.2,Optima,5.2,0.329,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000047,LOT-2025-2838,POS-025,Farmacia/Medicamentos,Amoxicilina 500mg Cap,286,0.8,2.17,2026-01-09,2026-09-13,-5,5.78,49.4,Desviación Menor,0.9,0.074,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,286,228.8
REG-000048,LOT-2025-5784,POS-013,Farmacia/Medicamentos,Paracetamol 500mg Tab,201,0.15,0.45,2026-06-02,2028-01-18,487,15.0,13.4,Desviación Crítica,4.8,0.305,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000049,LOT-2025-8190,POS-005,Consumo Masivo,Snack Papas Fritas 150g,55,0.41,0.84,2025-03-19,2026-09-03,-15,4.19,13.1,Optima,5.0,0.323,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,55,22.55
REG-000050,LOT-2025-5976,POS-008,Agroquímicos,Fertilizante Foliar 1L,122,2.05,4.9,2025-09-07,2028-03-08,537,12.49,9.8,Optima,5.0,0.323,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000051,LOT-2025-2077,POS-012,Agroquímicos,Mancozeb 80% WP 1Kg,233,2.88,6.22,2025-10-30,2026-11-20,63,9.34,24.9,Optima,4.7,0.302,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000052,LOT-2025-7881,POS-006,Agroquímicos,Mancozeb 80% WP 1Kg,253,2.77,6.18,2026-03-23,2027-07-23,308,7.76,32.6,Optima,1.0,0.079,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000053,LOT-2025-5854,POS-010,Consumo Masivo,Leche Entera Larga Vida 1L,73,0.67,0.95,2026-02-05,2026-09-19,1,14.7,5.0,Optima,5.3,0.341,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-000054,LOT-2025-2906,POS-015,Farmacia/Medicamentos,Omeprazol 20mg Cap,188,0.48,1.51,2025-12-26,2027-05-17,241,6.23,30.1,Desviación Menor,4.1,0.266,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000055,LOT-2025-5188,POS-018,Agroquímicos,Insecticida Cyper 200 EC 1L,26,4.01,10.85,2026-08-27,2029-01-04,839,1.42,18.2,Optima,6.0,0.383,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000056,LOT-2025-1523,POS-014,Farmacia/Medicamentos,Amoxicilina 500mg Cap,218,0.82,2.16,2025-09-06,2027-01-01,105,1.32,163.9,Desviación Menor,1.8,0.128,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-000057,LOT-2025-5432,POS-004,Consumo Masivo,Leche Entera Larga Vida 1L,32,0.66,0.97,2025-10-30,2026-09-16,-2,5.6,5.7,Optima,3.0,0.197,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,32,21.12
REG-000058,LOT-2025-7809,POS-014,Farmacia/Medicamentos,Omeprazol 20mg Cap,278,0.51,1.52,2025-12-29,2026-12-22,95,6.77,41.0,Optima,0.6,0.056,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000059,LOT-2025-9152,POS-023,Farmacia/Medicamentos,Amoxicilina 500mg Cap,29,0.81,2.23,2025-03-27,2026-10-16,28,13.37,2.2,Optima,1.9,0.136,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000060,LOT-2025-8561,POS-003,Agroquímicos,Mancozeb 80% WP 1Kg,46,2.68,6.21,2025-02-03,2026-11-24,67,4.33,10.6,Optima,0.9,0.072,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000061,LOT-2025-2761,POS-024,Farmacia/Medicamentos,Vitamina C 1000mg Comp,116,0.37,1.08,2025-10-04,2027-08-17,333,2.49,46.4,Optima,1.8,0.127,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000062,LOT-2025-4735,POS-023,Consumo Masivo,Bebida Energizante 500ml,227,0.7,1.49,2026-07-02,2027-01-29,133,13.46,16.9,Optima,2.1,0.146,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000063,LOT-2025-9195,POS-015,Consumo Masivo,Leche Entera Larga Vida 1L,198,0.65,0.96,2026-07-28,2026-10-22,34,8.4,23.5,Optima,4.7,0.302,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000064,LOT-2025-7316,POS-012,Farmacia/Medicamentos,Amoxicilina 500mg Cap,144,0.79,2.19,2025-08-13,2026-12-24,97,1.81,79.1,Optima,1.8,0.13,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000065,LOT-2025-2828,POS-011,Consumo Masivo,Leche Entera Larga Vida 1L,17,0.65,0.93,2025-01-10,2027-01-10,114,10.3,1.6,Optima,1.8,0.128,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000066,LOT-2025-3832,POS-009,Agroquímicos,Fertilizante Foliar 1L,73,2.12,5.06,2025-04-05,2028-02-25,525,12.48,5.8,Desviación Menor,2.2,0.15,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000067,LOT-2025-2908,POS-024,Consumo Masivo,Snack Papas Fritas 150g,271,0.39,0.84,2025-10-23,2026-11-01,44,11.95,22.7,Optima,1.0,0.079,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000068,LOT-2025-5820,POS-005,Consumo Masivo,Bebida Energizante 500ml,93,0.71,1.52,2026-08-24,2026-12-03,76,10.28,9.0,Optima,2.8,0.19,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000069,LOT-2025-7943,POS-019,Agroquímicos,Glifosato 480 SL 1L,108,3.59,8.5,2025-05-25,2026-10-25,37,3.51,30.7,Optima,5.2,0.331,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000070,LOT-2025-6765,POS-003,Agroquímicos,Fertilizante Foliar 1L,235,2.14,4.93,2025-10-16,2027-10-03,380,8.64,27.2,Desviación Crítica,4.8,0.311,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000071,LOT-2025-2120,POS-005,Consumo Masivo,Leche Entera Larga Vida 1L,122,0.62,0.95,2026-06-06,2027-01-03,107,12.34,9.9,Optima,5.9,0.376,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000072,LOT-2025-7359,POS-020,Farmacia/Medicamentos,Vitamina C 1000mg Comp,99,0.35,1.1,2025-11-20,2026-09-25,7,9.02,11.0,Optima,0.9,0.072,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-000073,LOT-2025-3116,POS-020,Farmacia/Medicamentos,Amoxicilina 500mg Cap,214,0.79,2.18,2025-01-23,2026-12-15,88,9.21,23.2,Optima,1.7,0.124,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000074,LOT-2025-4531,POS-012,Agroquímicos,Fertilizante Foliar 1L,291,2.16,4.9,2025-05-07,2026-12-03,76,9.14,31.8,Optima,0.9,0.077,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000075,LOT-2025-4368,POS-022,Consumo Masivo,Leche Entera Larga Vida 1L,5,0.62,0.97,2026-02-24,2026-10-29,41,13.06,0.4,Optima,4.4,0.286,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000076,LOT-2025-3708,POS-015,Farmacia/Medicamentos,Paracetamol 500mg Tab,29,0.15,0.46,2026-07-29,2027-07-27,312,12.97,2.2,Desviación Menor,3.6,0.236,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000077,LOT-2025-9666,POS-002,Consumo Masivo,Galletas Integrales 200g,184,0.49,1.1,2025-06-28,2026-09-27,9,6.34,29.0,Desviación Menor,4.7,0.299,Riesgo Inminente: Descuento / Remate,Sin Acción,Merma Parcial,99,48.51
REG-000078,LOT-2025-3713,POS-018,Agroquímicos,Insecticida Cyper 200 EC 1L,67,4.4,10.98,2025-05-28,2027-08-15,331,14.95,4.5,Optima,0.2,0.035,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000079,LOT-2025-2759,POS-013,Farmacia/Medicamentos,Omeprazol 20mg Cap,290,0.49,1.52,2025-02-01,2026-10-01,13,12.56,23.1,Optima,0.2,0.035,Riesgo Inminente: Descuento / Remate,Sin Acción,Merma Parcial,181,88.69
REG-000080,LOT-2025-7645,POS-017,Farmacia/Medicamentos,Omeprazol 20mg Cap,292,0.48,1.48,2025-02-24,2027-01-11,115,4.16,70.0,Desviación Menor,4.3,0.277,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000081,LOT-2025-4451,POS-001,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,259,0.26,0.81,2025-01-08,2026-11-08,51,0.39,647.5,Optima,6.2,0.392,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-000082,LOT-2025-8218,POS-001,Agroquímicos,Fertilizante Foliar 1L,124,2.02,4.95,2025-03-19,2026-08-28,-21,12.12,10.2,Desviación Menor,4.3,0.281,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,124,250.48
REG-000083,LOT-2025-7612,POS-014,Farmacia/Medicamentos,Amoxicilina 500mg Cap,40,0.76,2.16,2025-05-31,2026-12-23,96,9.68,4.1,Optima,3.5,0.227,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000084,LOT-2025-7852,POS-020,Farmacia/Medicamentos,Amoxicilina 500mg Cap,297,0.79,2.16,2026-06-16,2027-06-01,256,6.2,47.8,Optima,5.9,0.372,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000085,LOT-2025-8083,POS-003,Consumo Masivo,Snack Papas Fritas 150g,219,0.41,0.84,2025-06-07,2026-10-31,43,12.02,18.2,Optima,3.1,0.206,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000086,LOT-2025-3573,POS-009,Agroquímicos,Glifosato 480 SL 1L,8,3.47,8.4,2025-10-05,2026-11-23,66,2.07,3.8,Desviación Menor,2.7,0.18,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000087,LOT-2025-9996,POS-011,Consumo Masivo,Galletas Integrales 200g,80,0.48,1.1,2025-02-03,2027-01-02,106,3.18,25.1,Optima,5.5,0.353,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000088,LOT-2025-3074,POS-025,Farmacia/Medicamentos,Omeprazol 20mg Cap,177,0.5,1.51,2026-03-31,2027-08-26,342,12.59,14.0,Optima,5.0,0.319,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000089,LOT-2025-3681,POS-014,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,286,0.26,0.79,2025-10-19,2027-02-21,156,1.12,253.1,Optima,0.5,0.05,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-000090,LOT-2025-9378,POS-007,Agroquímicos,Mancozeb 80% WP 1Kg,293,2.79,6.24,2026-02-10,2026-10-16,28,4.12,70.9,Optima,5.5,0.35,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-000091,LOT-2025-8101,POS-013,Farmacia/Medicamentos,Paracetamol 500mg Tab,221,0.15,0.44,2025-10-23,2027-01-09,113,10.6,20.8,Optima,0.8,0.071,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000092,LOT-2025-8970,POS-003,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,105,0.25,0.79,2026-06-08,2027-07-07,292,1.46,71.4,Desviación Menor,5.0,0.317,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000093,LOT-2025-6136,POS-010,Agroquímicos,Glifosato 480 SL 1L,268,3.39,8.51,2025-08-04,2027-01-04,108,9.62,27.8,Optima,6.0,0.377,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000094,LOT-2025-3421,POS-016,Consumo Masivo,Leche Entera Larga Vida 1L,30,0.68,0.96,2026-07-25,2026-09-18,0,0.69,42.9,Optima,5.2,0.332,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,30,20.4
REG-000095,LOT-2025-9592,POS-023,Agroquímicos,Mancozeb 80% WP 1Kg,180,2.92,6.08,2026-06-03,2027-04-15,209,1.82,98.4,Optima,5.8,0.365,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000096,LOT-2025-7737,POS-020,Consumo Masivo,Snack Papas Fritas 150g,192,0.4,0.85,2026-06-10,2026-11-09,52,7.27,26.4,Desviación Menor,4.5,0.29,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000097,LOT-2025-3983,POS-023,Farmacia/Medicamentos,Paracetamol 500mg Tab,20,0.15,0.45,2026-02-01,2026-11-08,51,6.46,3.1,Desviación Menor,5.1,0.325,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000098,LOT-2025-9502,POS-003,Consumo Masivo,Snack Papas Fritas 150g,43,0.38,0.84,2025-10-01,2027-01-03,107,0.24,172.0,Optima,5.8,0.365,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-000099,LOT-2025-1271,POS-024,Farmacia/Medicamentos,Paracetamol 500mg Tab,69,0.15,0.45,2025-12-25,2027-03-29,192,3.66,18.8,Optima,3.8,0.246,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000100,LOT-2025-9567,POS-018,Farmacia/Medicamentos,Vitamina C 1000mg Comp,144,0.33,1.08,2026-08-08,2028-03-08,537,14.35,10.0,Optima,6.0,0.377,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000101,LOT-2025-5805,POS-007,Consumo Masivo,Snack Papas Fritas 150g,63,0.4,0.86,2025-08-14,2026-09-06,-12,6.08,10.3,Optima,1.6,0.115,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,63,25.2
REG-000102,LOT-2025-4564,POS-014,Farmacia/Medicamentos,Amoxicilina 500mg Cap,266,0.79,2.16,2026-05-21,2027-05-04,228,12.03,22.1,Optima,5.6,0.356,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
